PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0401 00776500,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2522126,186606,
0401 00790000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521898,186610,317 E THIRD ST
0401 00800000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1958,,2521951,186618,317 E THIRD ST
0401 00840000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522145,186641,302 CHURCH ST
0401 0085010E,E-10,E - Churches,6,Neighborhood or Spot,E,99045000,R1,1,Public,,Not Listed,,,,2522155,186736,CHURCH ST
0401 0086000E,E-10,E - Churches,6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,1890,2522153,186815,314 CHURCH ST
0401 00900100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1957,,2521756,187202,426 MINOR ST
0401 00900200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1979,,2521671,187194,424 MINOR ST
0401 00900300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1979,,2521576,187180,422 MINOR ST
0401 00900400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1965,,2521404,187161,420 MINOR ST
0401 00910000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1956,,2521832,187210,428 MINOR ST
0401 00920000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1955,,2521909,187222,430 MINOR ST
0401 00930000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1958,,2521983,187231,432 MINOR ST
